suburb,postcode,suburb_postcode,state_long,zone
Driver,0830,DRIVER 0830,Northern Territory,Remote
Durack,0830,DURACK 0830,Northern Territory,Remote
Farrar,0830,FARRAR 0830,Northern Territory,Remote
Gray,0830,GRAY 0830,Northern Territory,Remote
Marlow Lagoon,0830,MARLOW LAGOON 0830,Northern Territory,Remote
Moulden,0830,MOULDEN 0830,Northern Territory,Remote
Palmerston,0830,PALMERSTON 0830,Northern Territory,Remote
Shoal Bay,0830,SHOAL BAY 0830,Northern Territory,Remote
Woodroffe,0830,WOODROFFE 0830,Northern Territory,Remote
Yarrawonga,0830,YARRAWONGA 0830,Northern Territory,Remote
Bakewell,0832,BAKEWELL 0832,Northern Territory,Remote
Bellamack,0832,BELLAMACK 0832,Northern Territory,Remote
Gunn,0832,GUNN 0832,Northern Territory,Remote
Johnston,0832,JOHNSTON 0832,Northern Territory,Remote
Mitchell,0832,MITCHELL 0832,Northern Territory,Remote
Rosebery,0832,ROSEBERY 0832,Northern Territory,Remote
Rosebery Heights,0832,ROSEBERY HEIGHTS 0832,Northern Territory,Remote
Zuccoli,0832,ZUCCOLI 0832,Northern Territory,Remote
Virginia,0834,VIRGINIA 0834,Northern Territory,Remote
Coolalinga,0835,COOLALINGA 0835,Northern Territory,Remote
Howard Springs,0835,HOWARD SPRINGS 0835,Northern Territory,Remote
Virginia,0835,VIRGINIA 0835,Northern Territory,Remote
Girraween,0836,GIRRAWEEN 0836,Northern Territory,Remote
Herbert,0836,HERBERT 0836,Northern Territory,Remote
Humpty Doo,0836,HUMPTY DOO 0836,Northern Territory,Remote
Manton,0837,MANTON 0837,Northern Territory,Remote
Noonamah,0837,NOONAMAH 0837,Northern Territory,Remote
Berry Springs,0838,BERRY SPRINGS 0838,Northern Territory,Remote
Coolalinga,0839,COOLALINGA 0839,Northern Territory,Remote
Dundee Beach,0840,DUNDEE BEACH 0840,Northern Territory,Remote
Dundee Downs,0840,DUNDEE DOWNS 0840,Northern Territory,Remote
Dundee Forest,0840,DUNDEE FOREST 0840,Northern Territory,Remote
Darwin River,0841,DARWIN RIVER 0841,Northern Territory,Remote
